"name","long","lat","year","date"
"Danaus plexippus","-157.818665","21.300192","2017","2017-02-17"
"Danaus plexippus","-122.010381","36.970311","2017","2017-02-11"
"Danaus plexippus","-118.063152","33.798741","2017","2017-02-08"
"Danaus plexippus","-157.818665","21.300192","2017","2017-02-17"
"Danaus plexippus","-80.283777","25.661526","2017","2017-02-12"
"Danaus plexippus","-118.287647","34.017654","2017","2017-02-12"
"Danaus plexippus","-117.852457","34.133471","2017","2017-02-04"
"Danaus plexippus","-157.818665","21.300192","2017","2017-02-17"
"Danaus plexippus","-117.852515","34.133446","2017","2017-02-04"
"Danaus plexippus","-116.373198","33.702389","2017","2017-02-04"
"Danaus plexippus","-122.0599","36.982721","2017","2017-02-10"
"Danaus plexippus","-122.049602","37.558398","2017","2017-02-05"
"Danaus plexippus","-117.852627","34.133436","2017","2017-02-22"
"Danaus plexippus","-157.818649","21.300241","2017","2017-02-19"
"Danaus plexippus","-122.027572","36.956305","2017","2017-02-13"
"Danaus plexippus","-118.524261","34.015981","2017","2017-02-15"
"Danaus plexippus","-117.852527","34.133449","2017","2017-02-04"
"Danaus plexippus","-80.436733","25.491729","2017","2017-02-11"
"Danaus plexippus","-122.0599","36.982721","2017","2017-02-10"
"Danaus plexippus","-118.565358","34.024373","2017","2017-02-15"
"Danaus plexippus","-118.454034","34.175884","2017","2017-02-15"
"Danaus plexippus","-122.029618","36.96328","2017","2017-02-28"
"Danaus plexippus","-80.378145","25.754637","2017","2017-02-03"
"Danaus plexippus","-122.278583","38.18438","2017","2017-02-16"
"Danaus plexippus","-117.8525","34.133465","2017","2017-02-04"
"Danaus plexippus","-119.218597","34.184113","2017","2017-02-08"
"Danaus plexippus","-97.174293","26.137232","2017","2017-02-26"
"Danaus plexippus","-120.700757","35.256287","2017","2017-02-11"
"Danaus plexippus","-80.450164","25.463233","2017","2017-02-12"
"Danaus plexippus","-122.487516","37.89571","2017","2017-02-25"
"Danaus plexippus","-118.199783","34.13622","2017","2017-02-02"
"Danaus plexippus","-117.852556","34.133459","2017","2017-02-04"
"Danaus plexippus","-122.258354","37.806037","2017","2017-02-25"
"Danaus plexippus","-111.9451","33.4602","2017","2017-02-13"
"Danaus plexippus","-116.845667","32.891001","2017","2017-02-05"
"Danaus plexippus","-117.149123","32.732356","2017","2017-02-04"
"Danaus plexippus","-118.292823","33.875337","2017","2017-02-12"
"Danaus plexippus","-122.256002","37.807012","2017","2017-02-12"
"Danaus plexippus","-97.459255","30.140567","2017","2017-02-24"
"Danaus plexippus","-118.05375","33.775967","2017","2017-02-21"
"Danaus plexippus","-117.852515","34.133534","2017","2017-02-04"
"Danaus plexippus","-117.071275","32.776425","2017","2017-02-08"
"Danaus plexippus","-81.77124","26.155438","2017","2017-02-25"
"Danaus plexippus","-117.852553","34.133453","2017","2017-02-24"
"Danaus plexippus","-97.174049","26.137531","2017","2017-02-26"
"Danaus plexippus","-122.470876","37.801145","2017","2017-02-11"
"Danaus plexippus","-157.695476","21.283563","2017","2017-02-08"
"Danaus plexippus","-117.852651","34.133394","2017","2017-02-28"
"Danaus plexippus","-117.852524","34.13341","2017","2017-02-28"
"Danaus plexippus","-117.852589","34.133493","2017","2017-02-04"
"Danaus plexippus","-117.085612","32.746451","2017","2017-03-14"
"Danaus plexippus","-81.324217","28.961689","2017","2017-03-26"
"Danaus plexippus","-122.25852","37.806597","2017","2017-03-14"
"Danaus plexippus","-118.340629","33.835849","2017","2017-03-04"
"Danaus plexippus","-122.482989","37.891073","2017","2017-03-31"
"Danaus plexippus","-96.673853","33.052877","2017","2017-03-30"
"Danaus plexippus","-80.395176","25.758398","2017","2017-03-07"
"Danaus plexippus","-116.313025","33.189664","2017","2017-03-26"
"Danaus plexippus","-97.610042","30.19562","2017","2017-03-30"
"Danaus plexippus","-118.21597","34.126771","2017","2017-03-26"
"Danaus plexippus","-96.965683","33.063222","2017","2017-03-30"
"Danaus plexippus","-97.442512","26.244442","2017","2017-03-30"
"Danaus plexippus","-96.673108","33.053042","2017","2017-03-30"
"Danaus plexippus","-118.21052","34.032016","2017","2017-03-23"
"Danaus plexippus","-118.374212","33.830485","2017","2017-03-04"
"Danaus plexippus","-117.852659","34.133529","2017","2017-03-23"
"Danaus plexippus","-118.288603","34.017526","2017","2017-03-18"
